Grammar Point,Meaning,Formation,Example (Japanese),Example (Romaji),Example (English),JLPT Level
な-Adjective で～ (na-Adjective de~),Usage of で to connect or add information with a な-adjective.,な-Adjective + で,彼は綺麗で優しい女性が好きです。,Kare wa kirei de yasashii josei ga suki desu.,He likes women who are beautiful and kind.,JLPT N5
な-Adjective に します (na-Adjective ni shimasu),Expressing a decision or preference with a な-adjective.,な-Adjective + に + します,静かにします。,Shizuka ni shimasu.,I will be quiet.,JLPT N5
な-Adjective に なります (na-Adjective ni narimasu),Express a change or transformation into a state described by the な-adjective.,な-Adjective (remove な) + に + なります,この部屋は静かになります。,Kono heya wa shizuka ni narimasu.,This room becomes quiet.,JLPT N5
Noun か Noun か～ (Noun ka Noun ka～),"Expresses choice or alternatives; 'either', 'or'.",Noun1 + か + Noun2 + か～,今日、映画を見るか、散歩するかどちらにしますか？,"Kyou, eiga wo miru ka, sanpo suru ka dochira ni shimasu ka?",Will we watch a movie or go for a walk today?,JLPT N5
Noun が できます (Noun ga dekimasu),Express the ability to do something.,Noun + が + できます,英語ができます。,Eigo ga dekimasu.,I can speak English.,JLPT N5
Noun がほしいです (〜ga hoshii desu),"Express a desire or wanting something; 'I want', 'I would like'.",Noun + が + ほしいです,新しい車がほしいです。,Atarashii kuruma ga hoshii desu.,I want a new car.,JLPT N5
Noun から Noun まで (Noun kara Noun made),"Expresses a range; 'from...to', 'between...and'.",Noun1 + から + Noun2 + まで,朝9時から午後5時まで働きます。,Asa ku-ji kara gogo go-ji made hatarakimasu.,I work from 9 AM to 5 PM.,JLPT N5
Noun くらい～ (Noun kurai～),"Express the extent or degree of something; 'about', 'approximately', 'at least'.",Noun + くらい,この本は三百ページくらいあります。,Kono hon wa sanbyaku peeji kurai arimasu.,This book has about 300 pages.,JLPT N5
Noun ぐらい～ (Noun gurai～),"Express an approximate amount or degree; 'about', 'approximately'.",Noun + ぐらい,一日中勉強したので、１０時間ぐらい勉強しました。,"Ichinichijuu benkyou shita node, juu-jikan gurai benkyou shimashita.","I studied all day, so I studied for about 10 hours.",JLPT N5
Noun ごろ～ (Noun + goro～),Expresses 'around' or 'about' a certain time or age.,Noun + ごろ,昼ごろに電話してください。,Hiru goro ni denwa shite kudasai.,Please call me around noon.,JLPT N5
Noun だけ〜 (〜dake),"Indicates 'only', 'just', or 'merely'.","Noun + だけ, Verb-casual + だけ, い-Adjective + だけ, な-Adjective-な + だけ",コーヒーだけ飲んで、帰りました。,"Koohii dake nonde, kaerimashita.",I only drank coffee and went home.,JLPT N5
Nounで～ (Noun de ~),"Indicate a place or means for an action or situation; 'at, in, on', 'using', or 'by means of'.",Noun + で,図書館で勉強します。,Toshokan de benkyou shimasu.,I study at the library.,JLPT N5
Noun と～ (Noun to～),"Express 'with', 'and' or 'together with' when connecting nouns.",Noun1 + と + Noun2,リンゴとバナナを買いました。,Ringo to banana wo kaimashita.,I bought apples and bananas.,JLPT N5
Noun に～ (Noun ni～),"Express a specific direction, target or purpose; 'to', 'toward', 'for'.",Noun + に,彼女にプレゼントをあげました。,Kanojo ni purezento wo agemashita.,I gave a present to her.,JLPT N5
Noun に 帰ります (Noun ni kaerimasu),"Express going back or returning to a place: 'to return to', 'to go back to'.",Noun + に + 帰ります,夏休みが終わったら、学校に帰ります。,"Natsuyasumi ga owattara, gakkou ni kaerimasu.","When summer vacation ends, I'll go back to school.",JLPT N5
Noun に します (Noun ni shimasu),"Express a choice or decision; 'choose', 'decide on'.",Noun + に します,今日の昼ご飯は寿司にします。,Kyou no hirugohan wa sushi ni shimasu.,I'll choose sushi for today's lunch.,JLPT N5
Noun に なります (Noun ni narimasu),"Expresses change or becoming something; 'to become', 'to turn into', 'to be'.",Noun + に + なります,彼は医者になります。,Kare wa isha ni narimasu.,He will become a doctor.,JLPT N5
Noun に 来ます (Noun ni kimasu),Used to express coming to a place.,Noun + に + 来ます (kimasu),友達が私の家に来ます。,Tomodachi ga watashi no ie ni kimasu.,My friend will come to my house.,JLPT N5
Noun に 行きます (Noun ni ikimasu),Used to express going to a location.,Noun + に + 行きます,学校に行きます。,Gakkou ni ikimasu.,I will go to school.,JLPT N5
Noun の あとで (Noun no atode),"Expresses the order of events; 'after', 'later than'.",Noun + の + あとで,朝ご飯のあとで、歯を磨きます。,"Asagohan no atode, ha wo migakimasu.","After breakfast, I brush my teeth.",JLPT N5
Noun の 前に (Noun no mae ni),Used to describe a location or position 'in front of' a noun.,Noun + の + 前に,駅の前にコンビニがあります。,Eki no mae ni konbini ga arimasu.,There is a convenience store in front of the station.,JLPT N5
Noun は～ (Noun wa〜),"Used to mark the topic of a sentence; 'as for', 'speaking of'.",Noun + は,私は日本の料理が好きです。,Watashi wa Nihon no ryouri ga suki desu.,"As for me, I like Japanese cuisine.",JLPT N5
Noun も〜 (Noun mo~),"Indicates that the action or state is the same for multiple items or people; 'also', 'as well'.",Noun + も,私も日本語を勉強しています。,Watashi mo nihongo wo benkyou shiteimasu.,I am also studying Japanese.,JLPT N5
Noun や Noun など～ (Noun ya Noun nado),"Lists items or examples but not exhaustively; 'such as', 'like', 'and so on'.",Noun1 + や + Noun2 + など,彼は野菜や果物などを食べるのが好きです。,Kare wa yasai ya kudamono nado o taberu no ga suki desu.,He likes to eat things like vegetables and fruits.,JLPT N5
Noun を〜 (Noun wo〜),Indicates the direct object of a verb.,Noun + を + Verb,私は本を読みます。,Watashi wa hon wo yomimasu.,I read a book.,JLPT N5
Verb た あとで (ta ato de),Indicates an action that takes place after another action.,Verb-た form + あとで,宿題をしたあとで、テレビを見ました。,"Shukudai wo shita ato de, terebi wo mimashita.","After doing my homework, I watched TV.",JLPT N5
Verb たいです (taidesu),"Express desire or want to do something; 'I want to', 'I would like to'.","る-Verb: Remove る and add たいです, う-Verb: Replace the final verb character with the ～い form and add たいです, Exception: する becomes したいです",私は寿司を食べたいです。,Watashi wa sushi wo tabetai desu.,I want to eat sushi.,JLPT N5
Verb て～ (Verb + te～),A verb conjugation that connects actions or states.,"Verb (Group 1) - Replace last syllable with 〜て, Verb (Group 2) - Replace 'る' with 〜て, Verb (Group 3) - する becomes して, くる becomes きて",コーヒーを飲んで、出かけます。,"Koohii o nonde, dekakemasu.","After drinking coffee, I will go out.",JLPT N5
Verb て います (Verb te imasu),"Express ongoing action or state; 'is doing', 'is doing (continuous)', 'has been doing'.",Verb て-form + います,彼女は今ピアノを弾いています。,Kanojo wa ima piano wo hiite imasu.,She is playing the piano now.,JLPT N5
Verb てから～ (〜te kara),"Express a sequence of actions or events; 'after', 'since', 'once'.",Verb-て形 + から,宿題をしてから、テレビを見ました。,"Shukudai wo shite kara, terebi wo mimashita.",I watched TV after doing my homework.,JLPT N5
Verb て ください (Verb-te kudasai),A request or command; 'please do'.,Verb-て form + ください,ドアを開けてください。,Doa wo akete kudasai.,Please open the door.,JLPT N5
Verb ないで ください (〜naide kudasai),Used to make a polite request for someone not to do something; 'please don't'.,Verb-ない-form + で ください,タバコを吸わないでください。,Tabako wo suwanaide kudasai.,Please don't smoke.,JLPT N5
Noun に 戻ります (Noun ni modorimasu),"Expresses the action of returning to a previous state, place, or condition.",Noun + に + 戻ります,冷蔵庫に入れると、溶けたアイスクリームは固体に戻ります。,"Reizouko ni ireru to, toketa aisukuriimu wa kotai ni modorimasu.","When put in the refrigerator, the melted ice cream returns to its solid state.",JLPT N5
Verb に 来ます (Verb ni kimasu),Expresses the purpose of coming to a place; 'come to (do something)'.,Verb (ます-stem) + に + 来ます,友達に会いに来ました。,Tomodachi ni ai ni kimashita.,I came to meet my friend.,JLPT N5
Verb に 行きます (Verb ni ikimasu),To go (somewhere) in order to do an action.,Verb (ます-stem) + に + 行きます,公園に遊びに行きます。,Kouen ni asobi ni ikimasu.,I will go to the park to play.,JLPT N5
Verb ましょう (mashou),Making a suggestion or invitation; 'let's' or 'shall we'.,Verb (ます-stem) + ましょう,一緒に映画を見ましょう。,Issho ni eiga wo mimashou.,Let's watch a movie together.,JLPT N5
Verb ましょうか。 (〜mashou ka.),"Used to make a polite suggestion or offer help; 'shall we', 'should we', 'do you want me to'.",Verb (ます-stem) + ましょうか,一緒に映画を見に行きましょうか。,Issho ni eiga wo mi ni ikimashou ka.,Shall we go see a movie together?,JLPT N5
Verb ませんか。 (Verb-masenka),"An invitation or suggestion; 'won't you', 'why don't you', 'shall we'.",Verb (ます-form) + ませんか,一緒に映画を見ませんか。,Issho ni eiga wo mimasenka.,Won't you watch a movie together with me?,JLPT N5
Verb ること～ (〜ru koto),"Express an action or event as a noun; 'the act of', 'doing'.",Verb (dictionary form) + こと,泳ぐことが大好きです。,Oyogu koto ga daisuki desu.,I love swimming.,JLPT N5
Verb る こと が できます (ru koto ga dekimasu),"Express the potential form, or the ability to do something.",Verb (dictionary form) + ことができます,この問題を解くことができます。,Kono mondai o toku koto ga dekimasu.,I can solve this problem.,JLPT N5
Verb る こと ができる (ru koto ga dekiru),"Expresses the potential form; 'can', 'be able to', 'is possible'.",Verb (dictionary form) + ことができる,この問題を解くことができる？,Kono mondai o toku koto ga dekiru?,Can you solve this problem?,JLPT N5
Verb る の～ (Verb + ru + no~),"Used to express the purpose or reason in casual speech, or nominalize the verb with の.",Verb (dictionary form) + の (casual),買い物をするために、銀行でお金をおろすの。,"Kaimono o suru tame ni, ginkou de okane o orosu no.",I'm withdrawing money at the bank so I can go shopping.,JLPT N5
Verb る 前に (ru mae ni),Used to express 'before' in a sense of an action must be done before another action or event.,Verb (dictionary form) + 前に,出かける前に、部屋を掃除してください。,"Dekakeru mae ni, heya o souji shite kudasai.",Please clean the room before leaving.,JLPT N5
あまり～ありません (amari ~ arimasen),"Express 'not very', 'not much', or 'not really' when describing a negative state or situation.",あまり + Verb-ないform + ありません / あまり + い-Adjective-く ありません / あまり + な-Adjective・Noun じゃありません,彼はあまり疲れていません。,Kare wa amari tsukareteimasen.,He is not really tired.,JLPT N5
あまり～ないです (amari ~ nai desu),Express 'not really' or 'not very'; used to soften a negative statement.,あまり + Verb-ないform + です / あまり + い-Adjective-くない + です / あまり + な-Adjective-じゃない + です,あまり食べないです。,Amari tabenai desu.,I don't really eat much.,JLPT N5
～あります (〜arimasu),"Indicate possession or existence of inanimate objects; 'there is', 'there are'.",Object + が + あります,教室に机があります。,Kyoushitsu ni tsukue ga arimasu.,There is a desk in the classroom.,JLPT N5
～いかがですか。 (〜ikaga desu ka.),"A polite way to ask someone's thoughts, opinions, or preferences; 'how about', 'how is'.",Noun + は + いかがですか / (Verb-て form + は) いかがですか,お茶はいかがですか？,Ocha wa ikaga desu ka?,How about some tea?,JLPT N5
いくつ～ (ikutsu~),Used to express 'how many' or ask for the number of something.,いくつ + Noun (optional),リンゴはいくつありますか？,Ringo wa ikutsu arimasu ka?,How many apples are there?,JLPT N5
いつか～ (itsuka～),"Indicates an unspecified point in time; 'someday', 'one day', 'at some point'.",いつか + sentence,いつか日本に行きたいです。,Itsuka Nihon ni ikitai desu.,I want to go to Japan someday.,JLPT N5
いつでも～ (itsudemo～),"Expresses 'anytime', 'always', or 'whenever'.",いつでも + (Verb),いつでも遊びに来てください。,Itsudemo asobi ni kite kudasai.,Please come to play anytime.,JLPT N5
いつも～ (itsumo～),Expressing 'always' or 'usually' in a sentence.,いつも + Verb / Adjective / Noun,彼はいつも遅刻します。,Kare wa itsumo chikoku shimasu.,He is always late.,JLPT N5
～て います (～te imasu),"Expresses the present continuous or ongoing action; 'to be doing', 'currently doing'.",Verb て-form + います,今、音楽を聞いています。,"Ima, ongaku wo kiite imasu.",I am listening to music right now.,JLPT N5
～が (〜ga),Particle indicating the subject of a sentence or expressing 'but'.,Noun + が / い-Adjective + が / な-Adjective + が / Verb + が,私が学生です。,Watashi ga gakusei desu.,I am a student.,JLPT N5
"～が、～ (〜ga, 〜)","Express a contrast between two sentences; 'but', 'however'.",Sentence 1 + が、+ Sentence 2,デザートは美味しいが、カロリーが高い。,"Dezaato wa oishii ga, karorii ga takai.","The dessert is delicious, but it is high in calories.",JLPT N5
～から、～ (〜kara、～),"Expresses reason or cause; 'because', 'since', 'so'.",Verb-casual + から / い-Adjective + から / な-Adjective + だから / Noun + だから,明日は試験があるから、今晩勉強しなければなりません。,"Ashita wa shiken ga aru kara, konban benkyou shinakereba narimasen.","Because I have an exam tomorrow, I must study tonight.",JLPT N5
～からです (〜kara desu),"Express the reason or cause; 'because', 'since', 'due to'.",Verb-casual + からです / い-Adjective + からです / な-Adjective + だからです / Noun + だからです,寒いからです。コートを着ています。,Samui kara desu. Kooto wo kiteimasu.,It’s because it’s cold. That’s why I’m wearing a coat.,JLPT N5
～から もらいます (〜kara moraimasu),To receive something or get someone to do something.,Noun + から + (Verb-て form) + もらいます,友達からプレゼントをもらいました。,Tomodachi kara purezento wo moraimashita.,I received a present from my friend.,JLPT N5
～が 私に くれます (〜ga watashi ni kuremasu),Used to express that someone gives a gift or favor to 'me'; 'someone gives me'.,Person + が + (Thing or Action) + 私に + くれます,彼がプレゼントを私にくれました。,Kare ga purezento wo watashi ni kuremashita.,He gave me a present.,JLPT N5
～けど、～ (〜kedo、～),"Used to connect two clauses; 'but', 'however', 'although'",Verb-casual + けど / い-adjective + けど / な-adjective + だけど / Noun + だけど,授業に出たけど、まだ宿題をしないといけない。,"Jugyou ni deta kedo, mada shukudai wo shinai to ikenai.","I attended the class, but I still have to do my homework.",JLPT N5
～けれど、～ (〜keredo、～),"Expresses a contrast or contradiction; 'but', 'however', 'even though'.",Verb-casual + けれど / い-Adjective + けれど / な-Adjective + だけれど / Noun + だけれど,今日は寒いけれど、散歩に行きます。,"Kyou wa samui keredo, sanpo ni ikimasu.","Even though it's cold today, I'll go for a walk.",JLPT N5
こちら～ (kochira～),"Refers to a person, place or thing; 'this', 'this one', 'this way', 'here'.",こちら / こちら + の + Person/Thing,こちらは田中さんです。,Kochira wa Tanaka-san desu.,This is Mr./Ms. Tanaka.,JLPT N5
さっき～ (sakki～),Refers to a short time ago or just now.,さっき + verb / さっき + phrase,さっき電話がありました。,Sakki denwa ga arimashita.,There was a phone call just now.,JLPT N5
すぐに～ (sugu ni～),Immediately or right away; used to express promptness or quickness.,すぐに + Verb/Adjective,友達が来たら、すぐに電話をかけてください。,"Tomodachi ga kitara, sugu ni denwa wo kakete kudasai.","When my friend arrives, please call me right away.",JLPT N5
ぜんぜん～ (zenzen～),Used to express 'not at all' or 'completely' in negative sentences.,ぜんぜん + [Negative verb/adjective],彼はぜんぜん話さない。,Kare wa zenzen hanasanai.,He doesn't talk at all.,JLPT N5
そして、～ (soshite、～),"Used to connect two sentences; 'and then', 'and'.",Sentence 1 + そして + Sentence 2,朝起きて、そして宿題をしました。,"Asa okite, soshite shukudai wo shimashita.",I woke up in the morning and then did my homework.,JLPT N5
そちら～ (sochira～),"Indicates a direction or person in moderate distance; 'that way', 'that person'.",そちら [alone] / そちら + の + Noun,そちらのレストランはどうですか？,Sochira no resutoran wa dou desu ka?,How is that restaurant over there?,JLPT N5
それから、～ (sorekara、～),"Meaning 'after that', 'and then' or 'then', indicating sequence of events.",Clause 1 + それから + Clause 2,コーヒーを飲んで、それから家を出ました。,"Koohii o nonde, sorekara ie o demashita.","I drank coffee, and then I left the house.",JLPT N5
だいたい〜 (daitai〜),"Expresses 'roughly', 'approximately', or 'almost'.",だいたい + Number/Amount/Percentage,だいたい１００人がパーティーに参加しました。,Daitai hyaku-nin ga paatii ni sanka shimashita.,Approximately 100 people attended the party.,JLPT N5
たいてい～ (taitei～),"Used for expressing 'usually', 'mostly', or 'generally'.",たいてい + Verb/い-Adjective/な-Adjective/Noun,たいてい朝８時に起きます。,Taitei asa hachi-ji ni okimasu.,I usually wake up at 8 o'clock in the morning.,JLPT N5
だから、～ (dakara、～),"Expresses a reason or cause; 'because', 'so', 'therefore'.",Noun + だから / な-Adjective + だから,雨だから、傘を持って行きましょう。,"Ame dakara, kasa wo motte ikimashou.","Because it's raining, let's bring an umbrella.",JLPT N5
"～たり、～たり します (〜tari, 〜tari shimasu)","Used to list multiple actions or states; 'do things like', 'and'.",Verb-casual-past + たり + Verb-casual-past + たり + します,休日には、映画を見たり、友達と遊んだりします。,"Kyuujitsu ni wa, eiga wo mitari, tomodachi to asondari shimasu.","On holidays, I do things like watch movies and hang out with friends.",JLPT N5
だれ～ (dare～),"Asking 'who' in a sentence, used to inquire about someone's identity or to clarify who is being referred to.","だれ + appropriate particle (が, は or を)",だれがその本を買いましたか。,Dare ga sono hon o kaimashita ka.,Who bought that book?,JLPT N5
だれか〜 (dareka〜),Indicates 'someone' or something done or possessed by 'someone'.,"だれか + Verb, だれか + Adjective, だれか + Noun",だれかがドアをノックしました。,Dareka ga doa wo nokku shimashita.,Someone knocked on the door.,JLPT N5
だれでも～ (dare demo～),Used to express 'anyone' or 'everyone'; 'no matter who'.,だれでも + Verb/Adjective/Noun,だれでもこのゲームができます。,Dare demo kono geemu ga dekimasu.,Anyone can play this game.,JLPT N5
だれも～ないです (dare mo ~ nai desu),Express 'nobody' or 'no one' in a negative sentence.,"だれも + Verb-negative form (ないです), だれも + い-Adjective-negative form (ないです), だれも + な-Adjective-negative form (じゃないです)",だれも知らないです。,Daremo shiranai desu.,Nobody knows.,JLPT N5
だれも～ません (daremo ~masen),Express 'nobody' or 'no one' in negative sentences.,だれも + Verb-negative (ません),だれも秘密を知りません。,Daremo himitsu wo shirimasen.,No one knows the secret.,JLPT N5
～どう しますか。 (～dou shimasu ka.),"Asking for someone's opinion or decision; 'what will you do?', 'how will you handle it?'.",Situation + どうしますか,雨が降っているので、どうしますか？,"Ame ga futte iru node, dou shimasu ka?","It's raining, so what will you do?",JLPT N5
～どうですか。 (〜dou desu ka.),"Asking for opinions or suggestions; 'how about', 'what do you think of'.",Noun + は/が + どうですか / Verb-casual + の + どうですか / い-Adjective + どうですか / な-Adjective + な + どうですか,この映画はどうですか？,Kono eiga wa dou desu ka?,How about this movie? / What do you think of this movie?,JLPT N5
どうやって～ (douyatte～),Ask 'how' something is done or how to do something.,どうやって + Verb-casual,どうやってお寿司を作りますか？,Douyatte o-sushi wo tsukurimasu ka?,How do you make sushi?,JLPT N5
～どう 言いますか。 (〜dou iimasu ka.),Asking for the way to say something; 'how do you say'.,Word/Phrase + は [language]でどう言いますか / Word/Phrase + をどう言いますか,「ありがとう」は英語でどう言いますか。,「Arigatou」wa eigo de dou iimasu ka.,How do you say 'thank you' in English?,JLPT N5
～とき (〜toki),"Expresses the time when something happens, 'when', 'at the time'.",Verb-casual + とき / い-Adjective + とき / な-Adjective + なとき / Noun + のとき,公園で遊ぶとき、帽子をかぶりましょう。,"Kouen de asobu toki, boushi wo kaburimashou.","When playing in the park, let's wear a hat.",JLPT N5
ときどき～ (tokidoki～),"Used to indicate the frequency of an event; 'sometimes', 'occasionally', 'now and then'.",ときどき + Verb/Adjective/Noun,彼はときどきケーキを作ります。,Kare wa tokidoki keeki o tsukurimasu.,He sometimes makes cakes.,JLPT N5
どこ～ (doko～),"Express 'where', used with question words for asking about locations.",どこ + question particle,駅はどこですか？,Eki wa doko desu ka?,Where is the station?,JLPT N5
どこか～ (dokoka～),"Expresses 'somewhere', used when the specific location is unknown or uncertain.","どこか + (Particle, if needed) + Verb/Noun/Adjective",どこかで財布をなくしました。,Dokoka de saifu wo nakushimashita.,I lost my wallet somewhere.,JLPT N5
どこでも～ (dokodemo～),Express 'anywhere' or 'everywhere' in Japanese.,Simply use the word どこでも in the sentence as an adverb to indicate 'anywhere' or 'everywhere'.,どこでも好きな場所で勉強できます。,Dokodemo sukina basho de benkyou dekimasu.,You can study anywhere you like.,JLPT N5
どこにも + Verb + ないです (doko ni mo + Verb + nai desu),Express that an action cannot be performed anywhere or something cannot be found anywhere.,どこにも + Verb in ない-form + です,どこにも傘が売ってないです。,Doko ni mo kasa ga uttenai desu.,Umbrellas are not sold anywhere.,JLPT N5
どこにも + Verb + ません (doko ni mo + Verb + masen),Express 'not anywhere' or 'nowhere' with a negative verb.,どこにも + Verb-negative,どこにもあの猫がいません。,Doko ni mo ano neko ga imasen.,The cat is not anywhere.,JLPT N5
どこへも Verb ないです (doko e mo + Verb + nai desu),"Express that an action doesn't take place anywhere; 'nowhere', 'not anywhere'.",どこへも + Verb in negative form (ないです),今週末どこへも行かないです。,Konshuumatsu doko e mo ikanai desu.,I'm not going anywhere this weekend.,JLPT N5
どこへも Verb ません (doko e mo + Verb + masen),Nowhere; Not to any place,どこへも + Verb-negative,今日はどこへも行きません。,Kyou wa doko e mo ikimasen.,I won't go anywhere today.,JLPT N5
どこも Verb ないです (dokomo + Verb + naidesu),"Express that something cannot be found anywhere or in any place; 'nowhere', 'in no place'.",どこも + Verb-negative,どこもうちわがないです。,Doko mo uchiwa ga nai desu.,I can't find fans anywhere.,JLPT N5
どこも Verb ません (dokomo + Verb + masen),Express that 'nowhere' meets the verb action; 'nowhere does/can'.,どこも + Verb-ます form + ません,どこも静かじゃありません。,Doko mo shizuka ja arimasen.,Nowhere is quiet.,JLPT N5
どちら～ (dochira～),Used to ask about two choices or options.,"どちら + が/を + verb, どちら + が/を + adjective, どちら + が/を + noun",この二つのリンゴ、どちらが美味しいですか？,"Kono futatsu no ringo, dochira ga oishii desu ka?",Which of these two apples is delicious?,JLPT N5
どなた～ (donata～),"A polite way to ask 'who', used for asking about someone's identity or when seeking information about an unknown person.",どなた,すみません、どなたが山田さんですか？,"Sumimasen, donata ga Yamada-san desu ka?","Excuse me, who is Mr. Yamada?",JLPT N5
どの Noun (dono Noun),Expresses 'which'; used to ask about specific items within a group.,どの + Noun,どの本が一番面白いですか。,Dono hon ga ichiban omoshiroi desu ka?,Which book is the most interesting?,JLPT N5
どれでも～ (dore demo～),Indicates 'any' or 'whichever' when referring to multiple items.,どれ + でも,どれでもいいですか？,Dore demo ii desu ka?,Is any choice okay?,JLPT N5
どんな Noun (donna),Used to ask or describe 'what kind' or 'what type' of something.,どんな + Noun,どんな音楽が好きですか？,Donna ongaku ga suki desu ka?,What kind of music do you like?,JLPT N5
なに～ (nani~),Asking about 'what' or 'which' in Japanese,"Verb + なに, い-Adjective + なに, な-Adjective + なに, Noun + なに",これはなにですか。,Kore wa nani desu ka?,What is this?,JLPT N5
なにか～ (nanika～),Indicates 'something' or 'some kind of'.,なにか + Noun,なにか飲み物を持ってきてください。,Nanika nomimono wo motte kite kudasai.,Please bring some kind of drink.,JLPT N5
なにも～ないです (nani mo~nai desu),Used to express 'not any' or 'nothing' in a negative sentence.,なにも + Verb-negative,彼はなにも言わなかったです。,Kare wa nani mo iwanakatta desu.,He didn't say anything.,JLPT N5
なにも～ません (nanimo~masen),"Used to express 'not anything', 'nothing'.",なにも + Verb-ます form + ません,昨日はなにも食べませんでした。,Kinou wa nanimo tabemasen deshita.,I didn't eat anything yesterday.,JLPT N5
なん～ (nan~),"Used to form interrogative questions and emphasize the question word for 'what', 'how'.",なん + Counter / なん + Verb / なん + Adjective,あなたはなん歳ですか？,Anata wa nan-sai desu ka?,How old are you?,JLPT N5
